"filename", "language", "Markdown", "TypeScript", "JSON with Comments", "TypeScript JSX", "JavaScript", "JSON", "YAML", "Ini", "MS SQL", "XML", "PostCSS", "Java", "Java Properties", "Docker", "comment", "blank", "total"
"c:\BachKhoa\Kbase\BE\user-service\src\main\java\com\kbase\user\dto\LoginRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 3, 8
"c:\BachKhoa\Kbase\BE\user-service\src\main\java\com\kbase\user\dto\RegisterRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"c:\BachKhoa\Kbase\BE\user-service\src\main\java\com\kbase\user\dto\UpdateProfileRequest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 3, 8
"c:\BachKhoa\Kbase\BE\user-service\src\main\java\com\kbase\user\dto\UserResponse.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 7
"c:\BachKhoa\Kbase\BE\user-service\src\main\java\com\kbase\user\exception\BadRequestException.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"c:\BachKhoa\Kbase\BE\user-service\src\main\java\com\kbase\user\exception\GlobalExceptionHandler.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 6, 38
"c:\BachKhoa\Kbase\BE\user-service\src\main\java\com\kbase\user\exception\ResourceNotFoundException.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"c:\BachKhoa\Kbase\BE\user-service\src\main\java\com\kbase\user\model\User.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 11, 57
"c:\BachKhoa\Kbase\BE\user-service\src\main\java\com\kbase\user\model\UserRole.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"c:\BachKhoa\Kbase\BE\user-service\src\main\java\com\kbase\user\repository\UserRepository.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 3, 11
"c:\BachKhoa\Kbase\BE\user-service\src\main\java\com\kbase\user\service\JwtService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 5, 36
"c:\BachKhoa\Kbase\BE\user-service\src\main\java\com\kbase\user\service\UserService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 10, 84
"c:\BachKhoa\Kbase\BE\user-service\src\main\resources\application.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 5, 19
"c:\BachKhoa\Kbase\FE\kbase-frontend\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 1, 3, 20
"c:\BachKhoa\Kbase\FE\kbase-frontend\next-env.d.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 7
"c:\BachKhoa\Kbase\FE\kbase-frontend\next.config.mjs", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 7
"c:\BachKhoa\Kbase\FE\kbase-frontend\package-lock.json", "JSON", 0, 0, 0, 0, 0, 7037, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7038
"c:\BachKhoa\Kbase\FE\kbase-frontend\package.json", "JSON", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"c:\BachKhoa\Kbase\FE\kbase-frontend\postcss.config.js", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\BachKhoa\Kbase\FE\kbase-frontend\src\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 4, 21
