"filename", "language", "TypeScript", "YAML", "TypeScript JSX", "MS SQL", "Java Properties", "Java", "Docker", "XML", "JSON", "JavaScript", "PostCSS", "HTML", "comment", "blank", "total"
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\app\page.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -13, 0, 0, 0, -1, -14
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\app\page.js.nft.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\app\page\app-paths-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -3, 0, 0, 0, 0, 0, -3
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\app\page\build-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -16, 0, 0, 0, 0, 0, -16
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\app\page\next-font-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -6, 0, 0, 0, 0, 0, -6
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\app\page\react-loadable-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, -1
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\app\page\server-reference-manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, -4, 0, 0, 0, 0, 0, -4
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\app\page_client-reference-manifest.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, 0, 0, 0, -2, -4
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\chunks\ssr\[root-of-the-server]__01zapbh._.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -33, 0, 0, 0, 0, -33
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\chunks\ssr\[root-of-the-server]__03j7h3w._.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, -1, -3
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\chunks\ssr\[root-of-the-server]__0_7~-_w._.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, -1, -3
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\chunks\ssr\[root-of-the-server]__0cryof6._.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -178, 0, 0, -1, -5, -184
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\chunks\ssr\[root-of-the-server]__0e074.o._.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -15, 0, 0, -1, -3, -19
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\chunks\ssr\[root-of-the-server]__0m11o6j._.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, -1, -3
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\chunks\ssr\[root-of-the-server]__0xjlogi._.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, -1, -3
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\chunks\ssr\[root-of-the-server]__0ypo7ru._.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -33, 0, 0, 0, 0, -33
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\chunks\ssr\[turbopack]_runtime.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -727, 0, 0, -174, -2, -903
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\chunks\ssr\_05s-v_s._.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -16, 0, 0, -1, -2, -19
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\chunks\ssr\_next-internal_server_app__global-error_page_actions_0k77kol.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, -1, -3
"c:\BachKhoa\Kbase\FE\kbase-frontend\.next\server\chunks\ssr\_next-internal_server_app__not-found_page_actions_0eq97pa.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1, -1, -3
